daun;length (cm);width (cm);Area(cm^2)
1;3.8;1.6;6.08
2;4.3;1.8;7.74
3;3.5;1.7;5.95
4;3.7;1.6;5.92
5;3.6;1.7;6.12
6;4.2;1.9;7.98
7;4.1;1.9;7.79
8;4.3;1.7;7.31
9;4.5;2;9
10;4.19;1.9;7.961
11;4.15;1.7;7.055
12;3.9;1.6;6.24
13;4.5;1.7;7.65
14;3.7;1.9;7.03
15;3.9;1.7;6.63
16;4.5;2.1;9.45
17;4.5;2.2;9.9
18;4.65;2.2;10.23
19;3.15;1.7;5.355
20;3.5;1.4;4.9
21;3.9;1.6;6.24
22;4.5;1.8;8.1
23;3.9;1.6;6.24
24;4.1;1.9;7.79
25;4.4;1.9;8.36
26;3.8;1.6;6.08
27;2.9;2;5.8
28;3.9;1.9;7.41
29;3.8;1.7;6.46
30;3.9;1.7;6.63
31;3.4;1.3;4.42
32;4.1;1.6;6.56
33;4.2;1.9;7.98
34;4.2;1.9;7.98
35;4;2;8
36;4;1.9;7.6
37;3.2;1.2;3.84
38;3.8;1.7;6.46
39;2.2;1.4;3.08
40;3.6;1.6;5.76
41;3.8;1.8;6.84
42;2.9;1.8;5.22
43;4.8;1.8;8.64
44;3.6;1.9;6.84
45;3.1;1.7;5.27
46;3.8;1.7;6.46
47;3.7;1.8;6.66
48;3.7;1.6;5.92
49;3.5;1.6;5.6
50;4;1.7;6.8
51;3.1;1.6;4.96
52;3.2;1.6;5.12
53;3.3;1.65;5.445
54;1.9;1.7;3.23
55;2.6;1.6;4.16
56;2.9;1.4;4.06
57;3.2;1.5;4.8
58;2.3;1.5;3.45
59;2.6;1.6;4.16
60;3.5;1.7;5.95
61;4.6;2.2;10.12
62;4.6;1.8;8.28
63;3.6;1.7;6.12
64;3.7;1.7;6.29
65;4.2;1.8;7.56
66;3.2;1.6;5.12
67;3;1.6;4.8
68;3.3;1.6;5.28
69;4.1;1.7;6.97
70;2.7;2;5.4
71;2.5;1.9;4.75
72;3.3;1.6;5.28
73;4;1.8;7.2
74;4.5;1.8;8.1
75;4.6;1.9;8.74
76;3.9;1.5;5.85
77;3;1.5;4.5
78;3.6;1.9;6.84
79;3.6;1.5;5.4
80;3;1.5;4.5
81;3.1;2;6.2
82;2.7;1.5;4.05
83;3.6;1.7;6.12
84;3.8;1.8;6.84
85;4.2;1.9;7.98
86;2.5;1.6;4
87;3.6;1.6;5.76
88;2.6;1.6;4.16
89;2.9;1.6;4.64
90;4.4;2;8.8
91;4.1;1.8;7.38
92;3.1;1.7;5.27
93;2.3;1.4;3.22
94;3.2;1.6;5.12
95;3.4;1.5;5.1
96;3;1.6;4.8
97;4;1.7;6.8
98;2.9;1.8;5.22
99;2.5;1.6;4
100;4.1;1.7;6.97
